aggregation_level,take_count,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames_mean,gesture_duration_frames_median,gesture_duration_frames_std,gesture_duration_frames_q1,gesture_duration_frames_q3,gesture_duration_frames_min,gesture_duration_frames_max,gesture_duration_s_mean,gesture_duration_s_median,gesture_duration_s_std,gesture_duration_s_q1,gesture_duration_s_q3,gesture_duration_s_min,gesture_duration_s_max,public_subject_id,background,gesture_id
gesture,150,24494,24494,8601,15882,11,0,0.35114721972728014,0.6484036906997632,0.0004490895729566424,57.34,57.5,12.796722525027663,51.0,65.0,15.0,90.0,2.8670000000000004,2.875,0.6398361262513831,2.55,3.25,0.75,4.5,,,S
gesture,150,24615,24615,8702,15910,3,0,0.35352427381677837,0.6463538492788949,0.0001218769043266301,58.013333333333335,58.0,12.10135422377252,50.0,66.0,31.0,90.0,2.9006666666666665,2.9,0.605067711188626,2.5,3.3,1.55,4.5,,,T
gesture,150,23757,23757,7830,15914,13,0,0.32958706907437807,0.6698657237866734,0.0005472071389485204,52.2,51.0,11.374055016430091,45.0,59.75,29.0,92.0,2.61,2.55,0.5687027508215046,2.25,2.9875,1.45,4.6,,,U
gesture,150,24594,24594,8669,15922,3,0,0.3524843457753924,0.6473936732536391,0.00012198097096852891,57.79333333333334,56.5,10.354324497241885,52.0,63.0,29.0,94.0,2.8896666666666664,2.825,0.5177162248620943,2.6,3.15,1.45,4.7,,,V
gesture,150,24296,24296,8343,15952,1,0,0.3433898584129075,0.6565689825485677,4.115903852486006e-05,55.62,55.0,11.477243314226623,50.0,61.0,21.0,91.0,2.7809999999999997,2.75,0.5738621657113312,2.5,3.05,1.05,4.55,,,W
gesture,150,24502,24502,8403,16089,10,0,0.3429515957880989,0.6566402742633255,0.0004081299485756265,56.02,55.5,11.274173134459655,49.0,63.75,19.0,90.0,2.8009999999999997,2.775,0.5637086567229826,2.45,3.1875,0.95,4.5,,,Y
subject_background,170,26661,26661,8577,18084,0,0,0.32170586249578037,0.6782941375042196,0.0,50.45294117647059,50.0,4.649949754396579,47.0,53.0,29.0,61.0,2.5226470588235297,2.5,0.23249748771982898,2.35,2.65,1.45,3.05,P01,BLACK,
subject_background,170,27957,27957,8353,19604,0,0,0.2987802696998963,0.7012197303001038,0.0,49.13529411764706,49.0,6.9281555027568045,46.0,52.0,25.0,98.0,2.4567647058823527,2.45,0.34640777513784027,2.3,2.6,1.25,4.9,P01,BLUE,
subject_background,170,30779,30779,9661,21107,11,0,0.31388284219760226,0.6857597712726209,0.00035738652977679585,56.82941176470588,57.0,4.8905493581716195,54.0,59.0,34.0,72.0,2.841470588235294,2.85,0.244527467908581,2.7,2.95,1.7,3.6,P01,WHITE,
subject_background,170,26746,26746,9405,17324,17,0,0.3516413669333732,0.6477230240035893,0.0006356090630374636,55.3235294117647,56.0,9.449086829287465,50.25,61.0,21.0,81.0,2.7661764705882352,2.8,0.47245434146437326,2.5125,3.05,1.05,4.05,P02,BLACK,
subject_background,170,26519,26519,8679,17817,23,0,0.32727478411704813,0.6718579131943135,0.0008673026886383347,51.05294117647059,51.0,7.352704903965842,48.0,56.0,31.0,80.0,2.5526470588235295,2.55,0.36763524519829205,2.4,2.8,1.55,4.0,P02,BLUE,
subject_background,170,30688,30688,11274,19408,6,0,0.36737486965589156,0.632429614181439,0.00019551616266944735,66.31764705882352,66.0,8.55087353536998,61.0,71.0,42.0,92.0,3.315882352941177,3.3,0.427543676768499,3.05,3.55,2.1,4.6,P02,WHITE,
subject_background,170,26957,26957,8309,18647,1,0,0.30823162814853283,0.6917312757354305,3.709611603665096e-05,48.87647058823529,49.5,6.802542981844356,45.0,53.0,26.0,69.0,2.443823529411765,2.475,0.34012714909221775,2.25,2.65,1.3,3.45,P03,BLACK,
subject_background,170,27652,27652,8232,19341,79,0,0.2976999855345002,0.6994430782583538,0.002856936207145957,48.423529411764704,49.5,7.8715673959104615,43.0,53.0,27.0,67.0,2.4211764705882355,2.475,0.39357836979552313,2.15,2.65,1.35,3.35,P03,BLUE,
subject_background,170,30661,30661,9430,21211,20,0,0.30755683115358273,0.6917908744007045,0.0006522944457127948,55.470588235294116,55.0,7.360679533998722,51.0,60.0,36.0,74.0,2.773529411764706,2.75,0.36803397669993604,2.55,3.0,1.8,3.7,P03,WHITE,
subject_background,170,25545,25545,8884,16661,0,0,0.3477784302211783,0.6522215697788217,0.0,52.258823529411764,53.0,10.457751510485625,47.0,59.0,14.0,90.0,2.6129411764705885,2.65,0.5228875755242813,2.35,2.95,0.7,4.5,P04,BLACK,
subject_background,170,20587,20587,6553,14022,12,0,0.31830766988876474,0.6811094379948511,0.0005828921163841259,38.54705882352941,38.0,9.12118398101114,33.0,44.0,15.0,71.0,1.9273529411764705,1.9,0.45605919905055703,1.65,2.2,0.75,3.55,P04,BLUE,
subject_background,170,28337,28337,10943,17386,8,0,0.38617355401065745,0.6135441295832305,0.0002823164061121502,64.37058823529412,67.0,15.998086598086058,52.25,77.0,24.0,105.0,3.2185294117647056,3.35,0.799904329904303,2.6125,3.85,1.2,5.25,P04,WHITE,
subject_background,170,26890,26890,10415,16475,0,0,0.38731870583860173,0.6126812941613983,0.0,61.26470588235294,61.0,7.702719198379078,56.0,68.0,37.0,79.0,3.0632352941176473,3.05,0.38513595991895383,2.8,3.4,1.85,3.95,P05,BLACK,
subject_background,170,28191,28191,10821,17370,0,0,0.3838459082685964,0.6161540917314037,0.0,63.65294117647059,63.0,8.361125716729608,58.0,69.0,43.0,86.0,3.182647058823529,3.15,0.41805628583648036,2.9,3.45,2.15,4.3,P05,BLUE,
subject_background,170,30286,30286,10872,19414,0,0,0.35897774549296707,0.641022254507033,0.0,63.95294117647059,64.0,9.148875033315164,57.0,70.0,36.0,92.0,3.197647058823529,3.2,0.4574437516657582,2.85,3.5,1.8,4.6,P05,WHITE,
subject_gesture,30,5018,5018,1592,3426,0,0,0.31725787166201674,0.6827421283379833,0.0,53.06666666666667,53.0,4.4251112071226295,49.25,55.75,46.0,62.0,2.6533333333333338,2.65,0.2212555603561315,2.4625000000000004,2.7874999999999996,2.3,3.1,P01,,A
subject_gesture,30,4970,4970,1543,3427,0,0,0.31046277665995975,0.6895372233400402,0.0,51.43333333333333,51.0,4.031627833581089,49.25,53.75,43.0,61.0,2.5716666666666663,2.55,0.20158139167905448,2.4625000000000004,2.6875,2.15,3.05,P01,,B
subject_gesture,30,4971,4971,1577,3394,0,0,0.3172399919533293,0.6827600080466707,0.0,52.56666666666667,53.5,5.834991554131129,50.0,56.75,38.0,64.0,2.6283333333333343,2.675,0.29174957770655646,2.5,2.8375,1.9,3.2,P01,,C
subject_gesture,30,5030,5030,1544,3486,0,0,0.3069582504970179,0.6930417495029821,0.0,51.46666666666667,51.0,6.8718984644526815,48.0,56.75,38.0,65.0,2.5733333333333333,2.55,0.34359492322263413,2.4,2.8375,1.9,3.25,P01,,E
subject_gesture,30,5027,5027,1649,3378,0,0,0.3280286453152974,0.6719713546847026,0.0,54.96666666666667,55.5,12.399898034434308,49.5,60.5,25.0,98.0,2.7483333333333335,2.775,0.6199949017217155,2.475,3.025,1.25,4.9,P01,,I
subject_gesture,30,5041,5041,1595,3446,0,0,0.316405475104146,0.683594524895854,0.0,53.166666666666664,52.0,6.091731724419489,48.25,57.0,43.0,67.0,2.6583333333333328,2.5999999999999996,0.3045865862209745,2.4125,2.85,2.15,3.35,P01,,L
subject_gesture,30,5039,5039,1543,3496,0,0,0.30621154991069655,0.6937884500893035,0.0,51.43333333333333,52.0,5.581269991018503,46.5,55.75,41.0,64.0,2.5716666666666668,2.6,0.2790634995509252,2.3249999999999997,2.7874999999999996,2.05,3.2,P01,,M
subject_gesture,30,5034,5034,1486,3548,0,0,0.2951926897099722,0.7048073102900279,0.0,49.53333333333333,48.0,4.833313515615337,46.25,53.0,40.0,60.0,2.476666666666667,2.4,0.24166567578076684,2.3125,2.65,2.0,3.0,P01,,N
subject_gesture,30,5046,5046,1564,3482,0,0,0.3099484740388426,0.6900515259611574,0.0,52.13333333333333,53.0,7.228932927090126,48.25,57.75,27.0,61.0,2.6066666666666665,2.65,0.36144664635450635,2.4125,2.8875,1.35,3.05,P01,,O
subject_gesture,30,5027,5027,1560,3467,0,0,0.3103242490551024,0.6896757509448975,0.0,52.0,52.0,4.675689143379534,49.0,55.0,40.0,60.0,2.6000000000000005,2.6,0.23378445716897675,2.45,2.75,2.0,3.0,P01,,P
subject_gesture,30,5005,5005,1468,3537,0,0,0.2933066933066933,0.7066933066933067,0.0,48.93333333333333,49.0,6.107843082990654,46.25,52.0,35.0,60.0,2.4466666666666668,2.45,0.3053921541495327,2.3125,2.6,1.75,3.0,P01,,R
subject_gesture,30,5084,5084,1627,3446,11,0,0.32002360346184106,0.6778127458693942,0.0021636506687647524,54.233333333333334,53.5,5.250177884233253,51.0,59.0,42.0,64.0,2.7116666666666664,2.675,0.2625088942116626,2.55,2.95,2.1,3.2,P01,,S
subject_gesture,30,5065,5065,1610,3455,0,0,0.31786771964461996,0.6821322803553801,0.0,53.666666666666664,53.5,6.098803349744158,50.0,58.75,40.0,63.0,2.6833333333333327,2.675,0.3049401674872079,2.5,2.9375,2.0,3.15,P01,,T
subject_gesture,30,4940,4940,1450,3490,0,0,0.2935222672064777,0.7064777327935222,0.0,48.333333333333336,46.5,6.577565493105481,45.0,52.75,34.0,69.0,2.4166666666666665,2.325,0.3288782746552741,2.25,2.6375,1.7,3.45,P01,,U
subject_gesture,30,5035,5035,1557,3478,0,0,0.3092353525322741,0.6907646474677259,0.0,51.9,52.0,5.094621910779357,47.25,56.0,42.0,61.0,2.5949999999999993,2.6,0.25473109553896783,2.3625,2.8,2.1,3.05,P01,,V
